family	genus	species	host
Anelloviridae			01|human|vertebrates
Arenaviridae			01|human|vertebrates
Astroviridae			01|human|vertebrates
Bornaviridae			01|human|vertebrates
Caliciviridae			01|human|vertebrates
Coronaviridae			01|human|vertebrates
Filoviridae			01|human|vertebrates
Flaviviridae	Flavivirus	Yellow fever virus	01|human|vertebrates
Hepadnaviridae			01|human|vertebrates
Hepeviridae			01|human|vertebrates
Herpesviridae			01|human|vertebrates
Papillomaviridae			01|human|vertebrates
Paramyxoviridae			01|human|vertebrates
Parvoviridae	Dependoparvovirus		01|human|vertebrates
Picobirnaviridae			01|human|vertebrates
Picornaviridae			01|human|vertebrates
Polyomaviridae			01|human|vertebrates
Retroviridae			01|human|vertebrates
Rhabdoviridae		Bas-Congo virus	01|human|vertebrates
Togaviridae	Alphavirus	Sindbis virus	01|human|vertebrates
	Alphacoronavirus		01|human|vertebrates
	Alphapapillomavirus		01|human|vertebrates
	Alphatorquevirus		01|human|vertebrates
	Arenavirus		01|human|vertebrates
	Betacoronavirus		01|human|vertebrates
	Betapapillomavirus		01|human|vertebrates
	Betatorquevirus		01|human|vertebrates
	Bocaparvovirus		01|human|vertebrates
	Bornavirus		01|human|vertebrates
	Cardiovirus		01|human|vertebrates
	Cosavirus		01|human|vertebrates
	Cytomegalovirus		01|human|vertebrates
	Deltavirus		01|human|vertebrates
	Ebolavirus		01|human|vertebrates
	Enterovirus		01|human|vertebrates
	Erythroparvovirus		01|human|vertebrates
	Gammacoronavirus		01|human|vertebrates
	Gammatorquevirus		01|human|vertebrates
	Hantavirus		01|human|vertebrates
	Henipavirus		01|human|vertebrates
	Hepacivirus		01|human|vertebrates
	Hepatovirus		01|human|vertebrates
	Hepevirus		01|human|vertebrates
	Influenzavirus A		01|human|vertebrates
	Influenzavirus B		01|human|vertebrates
	Influenzavirus C		01|human|vertebrates
	Kobuvirus		01|human|vertebrates
	Lentivirus		01|human|vertebrates
	Lymphocryptovirus		01|human|vertebrates
	Lyssavirus		01|human|vertebrates
	Mamastrovirus		01|human|vertebrates
	Marburgvirus		01|human|vertebrates
	Mastadenovirus		01|human|vertebrates
	Metapneumovirus		01|human|vertebrates
	Molluscipoxvirus		01|human|vertebrates
	Morbillivirus		01|human|vertebrates
	Norovirus		01|human|vertebrates
	Orthohepadnavirus		01|human|vertebrates
	Orthopoxvirus		01|human|vertebrates
	Parapoxvirus		01|human|vertebrates
	Parechovirus		01|human|vertebrates
	Pegivirus		01|human|vertebrates
	Picobirnavirus		01|human|vertebrates
	Pneumovirus		01|human|vertebrates
	Polyomavirus		01|human|vertebrates
	Protoparvovirus		01|human|vertebrates
	Quaranjavirus		01|human|vertebrates
	Respirovirus		01|human|vertebrates
	Rhadinovirus		01|human|vertebrates
	Roseolovirus		01|human|vertebrates
	Rotavirus		01|human|vertebrates
	Rubivirus		01|human|vertebrates
	Rubulavirus		01|human|vertebrates
	Salivirus		01|human|vertebrates
	Sapovirus		01|human|vertebrates
	Seadornavirus		01|human|vertebrates
	Simplexvirus		01|human|vertebrates
	Varicellovirus		01|human|vertebrates
	Yatapoxvirus		01|human|vertebrates
Adenoviridae			02|vertebrates
Alloherpesviridae			02|vertebrates
Arteriviridae			02|vertebrates
Asfarviridae			02|vertebrates
Bidnaviridae			02|vertebrates
Circoviridae	Circovirus	Porcine circovirus-1	02|vertebrates
Coronaviridae	Betacoronavirus	Murine coronavirus	02|vertebrates
Coronaviridae	Gammacoronavirus	Avian coronavirus	02|vertebrates
Herpesviridae	Rhadinovirus	Saimiriine herpesvirus 2	02|vertebrates
Nodaviridae			02|vertebrates
Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 1	02|vertebrates
Paramyxoviridae	Metapneumovirus	Avian metapneumovirus	02|vertebrates
Parvoviridae	Protoparvovirus	Rodent protoparvovirus 1	02|vertebrates
Poxviridae	Molluscipoxvirus	Molluscum contagiosum virus	02|vertebrates
Poxviridae	Orthopoxvirus	Monkeypox virus	02|vertebrates
Retroviridae	Lentivirus	Simian immunodeficiency virus	02|vertebrates
	Alphanodavirus		02|vertebrates
	Alpharetrovirus		02|vertebrates
	Amdoparvovirus		02|vertebrates
	Aphthovirus		02|vertebrates
	Aquabirnavirus		02|vertebrates
	Aquamavirus		02|vertebrates
	Aquaparamyxovirus		02|vertebrates
	Aquareovirus		02|vertebrates
	Arterivirus		02|vertebrates
	Asfivirus		02|vertebrates
	Atadenovirus		02|vertebrates
	Avastrovirus		02|vertebrates
	Aviadenovirus		02|vertebrates
	Avibirnavirus		02|vertebrates
	Avihepadnavirus		02|vertebrates
	Avihepatovirus		02|vertebrates
	Avipoxvirus		02|vertebrates
	Avulavirus		02|vertebrates
	Bafinivirus		02|vertebrates
	Batrachovirus		02|vertebrates
	Betanodavirus		02|vertebrates
	Betaretrovirus		02|vertebrates
	Bidensovirus		02|vertebrates
	Blosnavirus		02|vertebrates
	Capripoxvirus		02|vertebrates
	Cervidpoxvirus		02|vertebrates
	Chipapillomavirus		02|vertebrates
	Crocodylidpoxvirus		02|vertebrates
	Cyprinivirus		02|vertebrates
	Deltacoronavirus		02|vertebrates
	Deltapapillomavirus		02|vertebrates
	Deltaretrovirus		02|vertebrates
	Deltatorquevirus		02|vertebrates
	Dicipivirus		02|vertebrates
	Dyodeltapapillomavirus		02|vertebrates
	Dyoepsilonpapillomavirus		02|vertebrates
	Dyoetapapillomavirus		02|vertebrates
	Dyoiotapapillomavirus		02|vertebrates
	Dyothetapapillomavirus		02|vertebrates
	Dyozetapapillomavirus		02|vertebrates
	Ephemerovirus		02|vertebrates
	Epsilonpapillomavirus		02|vertebrates
	Epsilonretrovirus		02|vertebrates
